ItemId	Name	Description	ModelNumber
556	Monitor	Lenovo ThinkVision S22i-30 21.5 LCD Monitor w/complete Accs & HDMI Cable	S22i-30
573	Microsoft Office Home and Business 2024 All Lng APAC EM Retail Online ESD	Microsoft Office Home and Business 2024 All Lng APAC EM Retail Online ESD	
597	Seagate 1TB One Touch Black USB3.0 HardDisk	Seagate 1TB One Touch Black USB3.0 HardDisk	
622	Duo-Beyond Cisco Standard Duo Beyond Edition	Duo-Beyond Cisco Standard Duo Beyond Edition	
623	Duo Sub Cisco Subscription	Duo Sub Cisco Subscription	
624	Svs-Duo-Sup-B Cisco Duo Basic Support	Svs-Duo-Sup-B Cisco Duo Basic Support	
633	MS CFQ7TTCOLDPB 365 Business Standard	MS CFQ7TTCOLDPB 365 Business Standard	CFQ7TTCOLDPB
634	MS CFQ7TTCOLH3L Power Automate Per User Plan	MS CFQ7TTCOLH3L Power Automate Per User Plan	CFQ7TTCOLH3L
1702	Vmware Workspace One Renewal with SID#M4142237093	WSU-AWOAP-12PTO-C1S Vmware Workspace One Advanced-Shared Cloud Saas Production Support-1 User-Subscription-12 Month Prepaid	WSU-AWOAP-12PTO-C1S
1703	1-Year Perpetual License Renewal for VMWare Horizon 8 with Contract#4117532908	Vmware - HZ8 - ADC-10B1-1Y TL55UG-C Subscription Upgrade: Omnissa Horizon 8 Advanced Term with VVF for VDI Edition-10 Concurrent User Pack 1-Year Term License 4117532908	HZ8-ADC-10B1-1Y-TL55UG-C
1704	"Cisco LIC-ENT-3Yr Meraki MR Enterprise License, 3yr Null"	"Cisco LIC-ENT-3Yr Meraki MR Enterprise License, 3yr Null"	LIC-MX250-SEC-3yr
1705	Cisco LIC-Z3C-ENT-3Yr Meraki Z3C	"Cisco LIC-Z3C-ENT-3Yr Meraki Z3C Enterprise License and Support, 3yr Null"	LIC-Z3C-ENT-3Yr 
1706	Cisco LIC-MX250-SEC-3yr Meraki Mx250	Cisco LIC-MX250-SEC-3yr Meraki Mx250 Advanced Security License and Support 3yr Null	LIC-MX250-SEC-3yr
1707	Cisco A-Flex-3 Collaboration Flex Plan 3.0 SUB1653060	Cisco A-Flex-3 Collaboration Flex Plan 3.0 SUB1653060	A-Flex-3 
1708	Cisco A-Flex-C-Dev-Ent Cloud Device Registration Entitlement SUB1653060	Cisco A-Flex-C-Dev-Ent Cloud Device Registration Entitlement SUB1653060	A-Flex-C-Dev-Ent 
1709	Cisco SVS-Flex-Supt-Bas Basic Support for Flex Plan SUB1653060	Cisco SVS-Flex-Supt-Bas Basic Support for Flex Plan SUB1653060	SVS-Flex-Supt-Bas 
1710	Cisco A-Flex-C-Dev-Reg Cloud Device Registration Sub1653060	Cisco A-Flex-C-Dev-Reg Cloud Device Registration Sub1653060	A-Flex-C-Dev-Reg
1711	Cisco A-Flex-P-Call Prem to Webex Calling/UCM Cloud Sub1653060	Cisco A-Flex-P-Call Prem to Webex Calling/UCM Cloud Sub1653060	A-Flex-P-Call 
1712	Cisco A-Flex-3- Collaboration Flex Plan 3.0 SUB1653059	Cisco A-Flex-3- Collaboration Flex Plan 3.0 SUB1653059	A-Flex-3 
1713	Cisco A-Flex-C-Dev-Reg-Cloud Device Registration SUB1653059	Cisco A-Flex-C-Dev-Reg-Cloud Device Registration SUB1653059	A-Flex-C-Dev-Reg-Cloud 
1714	Cisco A-Flex-C-Dev-Ent Cloud Device Registration Entitlement SUB1653058	Cisco A-Flex-C-Dev-Ent Cloud Device Registration Entitlement SUB1653058	A-Flex-C-Dev-Ent 
1715	Cisco 5V5-Flex-Supt-Bas Basic Support for Flex Plan Sub1653059	Cisco 5V5-Flex-Supt-Bas Basic Support for Flex Plan Sub1653059	5V5-Flex-Supt-Bas 
1716	Cisco A-Flex-P-Call Prem to Webex Calling/UCM Cloud SUB1653059	Cisco A-Flex-P-Call Prem to Webex Calling/UCM Cloud SUB1653059	A-Flex-P-Call
1717	Cisco A-Flex Collaboration Flex Plan 3.0 SUB1653058	Cisco A-Flex Collaboration Flex Plan 3.0 SUB1653058	A-Flex 
1718	Cisco A-Flex-C-Dev-Reg Cloud Device Registration SUB1653058	Cisco A-Flex-C-Dev-Reg Cloud Device Registration SUB1653058	A-Flex-C-Dev-Reg
1720	Trustwave Trust_Mail_Lic Mailmarshal Service Agreement (1 Year) 100 User License Marshal Core Protection Antispam Anti-Malware Sophos	Trustwave Trust_Mail_Lic Mailmarshal Service Agreement (1 Year) 100 User License Marshal Core Protection Antispam Anti-Malware Sophos	
1721	Trustwave Trust_Web_Lic-Webmarshal Service Agreement (1 Year) 100 User License Marshal Core Protection Anti Malware Sophos for Marshal Web Filter Database Standard Support	Trustwave Trust_Web_Lic-Webmarshal Service Agreement (1 Year) 100 User License Marshal Core Protection Anti Malware Sophos for Marshal Web Filter Database Standard Support	
1722	Cisco A-Flex-C-Dev-Ent Cloud Device Registration Entitlement SUB1653058	Cisco A-Flex-C-Dev-Ent Cloud Device Registration Entitlement SUB1653058	A-Flex-C-Dev-Ent
1723	Cisco SVS-Flex-Supt-Bas Basic Support for Flex Plan SUB1653058	Cisco SVS-Flex-Supt-Bas Basic Support for Flex Plan SUB1653058	SVS-Flex-Supt-Bas 
1724	Cisco A-Flex-Call Prem to Webex Calling/UCM Cloud SUB1653058	Cisco A-Flex-Call Prem to Webex Calling/UCM Cloud SUB1653058	A-Flex-Call 
1725	Cisco A-Flex-3 Collaboration Flex Plan 3.0 SUB1014849	Cisco A-Flex-3 Collaboration Flex Plan 3.0 SUB1014849	A-Flex-3 
1726	Cisco A-Flex-SRST-Endpoint (1) SUB1014849	Cisco A-Flex-SRST-Endpoint (1) SUB1014849	A-Flex-SRST-Endpoint 
1727	Cisco A-Flex -P-Acc Access Smart License (1) Sub1014849	Cisco A-Flex -P-Acc Access Smart License (1) Sub1014849	A-Flex -P-Acc 
1728	Cisco A-Flex -SW-12.5-K9 On-Premises & Partner Hosted Calling SW Bundle V12.5 (1) SUB1014849	Cisco A-Flex -SW-12.5-K9 On-Premises & Partner Hosted Calling SW Bundle V12.5 (1) SUB1014849	A-Flex-SW-12.5-K9
1729	Cisco A-Flex-Nupla NU On Premises Calling Access SUB1014849	Cisco A-Flex-Nupla NU On Premises Calling Access SUB1014849	A-Flex-Nupla
1730	Cisco SVS-Flex-Supt-Bas Basic Support for Flex Plan SUB1014849	Cisco SVS-Flex-Supt-Bas Basic Support for Flex Plan SUB1014849	SVS-Flex-Supt-Bas 
1732	File Automation DMZ Auto WFTP-A WFTP	File Automation DMZ Auto WFTP-A WFTP Automation Corporate License with PGP Module 10 Keys 1-Year Standard Support Services Agreement	WFTP-A
