Model Name,Description,Model Number,Serial Number,Quantity,Unit Of Measure,Category,Amount,Condition,Item Type,Vendor,Start Date,End Date,Remarks,Warranty Years,Duration Years,Duration Start Date,Duration End Date,Date Purchased,License Number,Warranty Start Date,Acquisition Type
Samsung Galaxy A17 5G,Cellphone/Handheld for Direct Sales,A17,IMEI: 355851156077593,1,Unit,Cellphone,,Good,Hardware,Abenson,21/01/2026 11:27,,NULL,,,,,21/01/2026,,,Both
Samsung Galaxy A17 5G,Cellphone/Handheld for Direct Sales,A17,IMEI: 355851156082031,1,Unit,Cellphone,,Good,Hardware,Abenson,21/01/2026 11:31,,NULL,,,,,,,,Both
Samsung Galaxy A17 5G,Cellphone/Handheld for Direct Sales,A17,IMEI: 355851156081926,1,Unit,Cellphone,,Good,Hardware,Abenson,21/01/2026 11:31,,NULL,,,,,,,,Both
Redmi 15 5G Ripple Green 8GB RAM 256GB ROM,Cellphone/Handheld for Direct Sales,Redmi 15,SN:868392074634009,1,Unit,Cellphone,,Good,Hardware,Abenson,21/01/2026 11:34,,NULL,,,,,,,,Both
Redmi 15 5G Ripple Green 8GB RAM 256GB ROM,Cellphone / Handheld for Direct Sales,Redmi 15,SN:868392074711583,1,Unit,Cellphone,,Good,Hardware,Abenson,21/01/2026 11:34,,NULL,,,,,,,,Both
APC Back-UPS CS BK650-AS,UPS,S5B2548TA8638,S5B2548TA8638,1,Contract,UPS,,Good,Services,"Columbia Technologies, Inc.",21/01/2026 13:18,,NULL,,,,,21/01/2026,,,Invoice
APC Back-UPS CS BK650,UPS,S5B2546TC8161,S5B2546TC8161,1,Unit,UPS,,Good,Hardware,"Columbia Technologies, Inc.",21/01/2026 13:20,,2years on UPS/1 Year on Battery,,,,,,,,Both
APC Back-UPS CS BK650,UPS,S5B2546TC8161,S5B2546TC8175,1,Unit,UPS,,Good,Hardware,"Columbia Technologies, Inc.",21/01/2026 13:20,,2years on UPS/1 Year on Battery,,,,,,,,Both
APC Back-UPS CS BK650,UPS,S5B2546TC8161,S5B2546TC8165,1,Unit,UPS,,Good,Hardware,"Columbia Technologies, Inc.",21/01/2026 13:20,,2years on UPS/1 Year on Battery,,,,,,,,Both
APC Back-UPS CS BK650,UPS,S5B2546TC8161,S5B2546TC8141,1,Unit,UPS,,Good,Hardware,"Columbia Technologies, Inc.",21/01/2026 13:20,,2years on UPS/1 Year on Battery,,,,,,,,Both
Logitech H570e USB Headset,Headset,2344ME007TF9,2344ME007TF9,1,Piece,Headset,,Good,Hardware,"Columbia Technologies, Inc.",21/01/2026 14:18,,Katherine Clomera,,,,,,,,Both
HP 107A Black Laser Toner Cartridge,Toner Cartridge,123456,123456,1,Piece,Cartridge,,Good,Hardware,"Columbia Technologies, Inc.",21/01/2026 14:20,,NULL,,,,,,,,Both
"Lenovo Thinkcentre M70s Gen5 Intel Corei5-14400 16GB Memory 512GBSSD, WIN11PRO, Cardreader, Powercord",CPU,SGM13C7W3,SGM13C7W3,1,Unit,CPU,,Good,Hardware,"Columbia Technologies, Inc.",21/01/2026 14:22,,NULL,,,,,,,,Both
"Lenovo Thinkcentre M70s Gen5 Intel Corei5-14400 16GB Memory 512GBSSD, WIN11PRO, Cardreader, Powercord",CPU,SGM13C7W3,SGM13C7RF,1,Unit,CPU,,Good,Hardware,"Columbia Technologies, Inc.",21/01/2026 14:22,,NULL,,,,,,,,Both
Lenovo ThinkVision S22i-30 21.5 LCD Monitor w/complete Accs & HDMI Cable,Monitor,SVR00BZY8,SVR00BZY8,1,Monthly,Monitor,,Good,Software/License,"Columbia Technologies, Inc.",21/01/2026 14:25,,NULL,,,,,,,,Invoice
Lenovo ThinkVision S22i-30 21.5 LCD Monitor w/complete Accs & HDMI Cable,Monitor,SVR00BZY8,SVR00BZ4A,1,Monthly,Monitor,,Good,Hardware,"Columbia Technologies, Inc.",21/01/2026 14:25,,NULL,,,,,,,,Invoice
Logitech C925e Business Webcam,Webcam,2509APW5EQL9,2509APW5EQL9,1,Piece,Webcam,,Good,Hardware,"Columbia Technologies, Inc.",21/01/2026 14:29,,NULL,,,,,,,,Both
"BTECH BT5442/B - ""55"" - 80"" for large to extra large screens",TV Bracket,N/A,N/A,1,Piece,TV Bracket,,Good,Hardware,Jump Solutions Inc.,21/01/2026 15:43,,for GA Dept. Board Room,,,,,,,,Both
Xscan - FQ,Xscan,AFU111010TBEAG000643,AFU111010TBEAG000643,1,Unit,Biometrics,,Good,Hardware,Jump Solutions Inc.,21/01/2026 16:23,,NULL,,,,,,,,Both
Xscan - FQ,Xscan,AFU111010TBEAG000643,AFU111010TBEAG000642,1,Unit,Biometrics,,Good,Hardware,Jump Solutions Inc.,21/01/2026 16:23,,NULL,,,,,,,,Both
"Ubio-X Fce 8"" Premium Face Recognition Terminal",Biometrics,AFU110010UTBBLG01636,AFU110010UTBBLG01636,1,Unit,Biometrics,,Good,Hardware,Jump Solutions Inc.,21/01/2026 16:25,,NULL,,,,,,,,Both
"Ubio-X Fce 8"" Premium Face Recognition Terminal",Biometrics,AFU110010UTBBLG01636,AFU110010UTBBKG01554,1,Unit,Biometrics,,Good,Hardware,Jump Solutions Inc.,21/01/2026 16:25,,NULL,,,,,,,,Both
Lenovo Thinkpad E14,Laptop,PF5MQN5K,PF5MQN5K,1,Unit,Laptop,,Good,Hardware,Jump Solutions Inc.,21/01/2026 16:27,,"PR & Science Dept., PDD - Mark Garcia, PMD - Lester Garcia",,,,,,,,Both
Lenovo Thinkpad E14,Laptop,PF5MQN5K,PF5MQN8A,1,Unit,Laptop,,Good,Hardware,Jump Solutions Inc.,21/01/2026 16:27,,"PR & Science Dept., PDD - Mark Garcia, PMD - Lester Garcia",,,,,,,,Both
Lenovo Thinkpad E14,Laptop,PF5MQN5K,PF5MQSQ7,1,Unit,Laptop,,Good,Hardware,Jump Solutions Inc.,21/01/2026 16:27,,"PR & Science Dept., PDD - Mark Garcia, PMD - Lester Garcia",,,,,,,,Both
"Panasonic LED TV NS600 43""",TV,2540524F-00526,2540524F-00526,1,Unit,TV,,Good,Hardware,Fair N' Square,21/01/2026 16:38,,Sta. Rosa Center,,,,,,,,Both
Logitech USB Headset Stereo H570e,Headset,2344ME007MY9,2344ME007MY9,1,Piece,Headset,,Good,Hardware,NULL,21/01/2026 16:46,,NULL,,,,,,,,Both
"Brother TZE-631-P-Touch TZ Tape 631, 12MM Black on Yellow Tape",Tape,TZE-631,,1,Unit,Tape,,Good,Hardware,Jump Solutions Inc.,23/01/2026 11:29,,NULL,,,,,,,,Both
