"BEG BAL IT CONSUMABLE STOCKS As of Aug 22, 2026",,
Description,Remaining Balance,TYPE
HP LASERJET 410X (MAGENTA),7,TONER
HP LASERJET 410X (BLACK),3,TONER
HP LASERJET 410X (CYAN),13,TONER
HP LASERJET 410X (YELLOW),4,TONER
HP LASERJET 416X (MAGENTA),27,TONER
HP LASERJET 416X (BLACK),6,TONER
HP LASERJET 416X (CYAN),27,TONER
HP LASERJET 416X (YELLOW),7,TONER
HP LASERJET 202X (MAGENTA),20,TONER
HP LASERJET 202X (BLACK),35,TONER
HP LASERJET 202X (CYAN),21,TONER
HP LASERJET 202X (YELLOW),22,TONER
HP LASERJET CF226XC/26x (BLACK ONLY),61,TONER
HP LASERJET 85A (BLACK ONLY),26,TONER
HP LASERJET 151X (BLACK ONLY),23,TONER
HP LASERJET 230A (MAGENTA),16,TONER
HP LASERJET 230A (BLACK),11,TONER
HP LASERJET 230A (CYAN),17,TONER
HP LASERJET 230A (YELLOW),12,TONER
HP LASERJET W2042XC (YELLOW),1,TONER
HP LASERJET W2040XC (BLACK),1,TONER
HP LASERJET W2043XC (MAGENTA),2,TONER
HP LASERJET W2041XC (CYAN),0,TONER
HP LASERJET CF413XC (MAGENTA),1,TONER
HP LASERJET CF410XC (BLACK),4,TONER
HP LASERJET CF276XC/76X (BLACK),53,TONER
HP LASERJET 80X (BLACK),1,TONER
HP LASERJET 107A (BLACK),6,TONER
HP LASERJET 110A/X (BLACK),40,TONER
HP GT52 (YELLOW),51,INK
HP GT52 (CYAN),44,INK
HP GT52 (MAGENTA),54,INK
HP GT52/53 (BLACK),51,INK
EPSON 664 (MAGENTA),15,INK
EPSON 664 (YELLOW),0,INK
EPSON 664 (BLACK),15,INK
EPSON 664 (CYAN),23,INK
EPSON 001 (CYAN),14,INK
EPSON 001 (YELLOW),14,INK
EPSON 001 (MAGENTA),12,INK
EPSON 001 (BLACK),6,INK
EPSON 057 (BLACK),11,INK
EPSON 057 (LIGHT MAGENTA),3,INK
EPSON 057 (MAGENTA),3,INK
EPSON 057 (YELLOW),0,INK
EPSON 057 (LIGHT CYAN),3,INK
HP PRINTERHEAD M0H51AA (BLACK),28,PRINT HEAD
EPSON 057 (CYAN),3,TONER
LX310,174,Cartridge
LQ2190,110,Cartridge
LQ2190 PRINTERHEAD,18,PRINT HEAD
PRINT TRONIX P7000,14,Cartridge
HP PRINTERHEAD X4E75AA (BLACK),42,PRINT HEAD
Epson 003 (BLACK) ,8,INK
Epson 003 (YELLOW),9,INK
Epson 003 (CYAN),9,INK
Epson 003 (MAGENTA),9,INK
LX310 Printerhead ,30,PRINT HEAD
