"BEG BAL IT CONSUMABLE STOCKS As of JULY 02, 2026",,
Description,Remaining Balance,TYPE
HP LASERJET 410X (MAGENTA),7,TONER
HP LASERJET 410X (BLACK),3,TONER
HP LASERJET 410X (CYAN),13,TONER
HP LASERJET 410X (YELLOW),4,TONER
HP LASERJET 416X (MAGENTA),27,TONER
HP LASERJET 416X (BLACK),0,TONER
HP LASERJET 416X (CYAN),26,TONER
HP LASERJET 416X (YELLOW),8,TONER
HP LASERJET 202X (MAGENTA),40,TONER
HP LASERJET 202X (BLACK),35,TONER
HP LASERJET 202X (CYAN),21,TONER
HP LASERJET 202X (YELLOW),22,TONER
HP LASERJET CF226XC/26x (BLACK ONLY),41,TONER
HP LASERJET 85A (BLACK ONLY),25,TONER
HP LASERJET 151X (BLACK ONLY),23,TONER
HP LASERJET 230A (MAGENTA),18,TONER
HP LASERJET 230A (BLACK),13,TONER
HP LASERJET 230A (CYAN),18,TONER
HP LASERJET 230A (YELLOW),14,TONER
HP LASERJET W2042XC (YELLOW),1,TONER
HP LASERJET W2040XC (BLACK),5,TONER
HP LASERJET W2043XC (MAGENTA),3,TONER
HP LASERJET W2041XC (CYAN),0,TONER
HP LASERJET CF413XC (MAGENTA),0,TONER
HP LASERJET CF410XC (BLACK),0,TONER
HP LASERJET CF276XC/76X (BLACK),0,TONER
HP LASERJET 80X (BLACK),1,TONER
HP LASERJET 76X (BLACK),77,TONER
HP LASERJET 107A (BLACK),10,TONER
HP LASERJET 110A (BLACK),26,TONER
HP GT52 (YELLOW),15,INK
HP GT52 (CYAN),10,INK
HP GT52 (MAGENTA),18,INK
HP GT52/53 (BLACK),65,INK
EPSON 664 (MAGENTA),15,INK
EPSON 664 (YELLOW),0,INK
EPSON 664 (BLACK),15,INK
EPSON 664 (CYAN),23,INK
EPSON 001 (CYAN),15,INK
EPSON 001 (YELLOW),17,INK
EPSON 001 (MAGENTA),15,INK
EPSON 001 (BLACK),9,INK
EPSON 057 (BLACK),10,INK
EPSON 057 (LIGHT MAGENTA),4,INK
EPSON 057 (MAGENTA),4,INK
EPSON 057 (YELLOW),4,INK
EPSON 057 (LIGHT CYAN),4,INK
HP PRINTERHEAD M0H51AA (BLACK),19,PRINT HEAD
EPSON 057 (CYAN),4,TONER
LX310,97,Cartridge
LQ2190,112,Cartridge
LQ2190 PRINTERHEAD,0,PRINT HEAD
PRINT TRONIX P7000,12,Cartridge
