SetId	SetCode	DocumentNumber	ReceiptSetId	DocType	StorageLocation	ImagePath
165	SET-0165	025700	6	DR	Both (Local + DB)	C:\Users\User\Downloads\DR_025345.jpg
165	SET-0165	025700	6	DR	Both (Local + DB)	C:\Users\User\Downloads\DR_025345.jpg
165	SET-0165	025700	6	PO	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025700\SI_REPORT_025700.jpg
165	SET-0165	025700	6	PO	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025700\SI_REPORT_025700.jpg
165	SET-0165	025700	6	SI	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025700\SI_025700.jpg
165	SET-0165	025700	6	SI	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025700\SI_025700.jpg
166	SET-0166	025739	10	DR	Both (Local + DB)	C:\Users\User\Desktop\Receipt\DR_001616.jpg
166	SET-0166	025739	10	DR	Both (Local + DB)	C:\Users\User\Desktop\Receipt\DR_001616.jpg
166	SET-0166	025739	10	PO	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025739\SI_REPORT_025739.jpg
166	SET-0166	025739	10	PO	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025739\SI_REPORT_025739.jpg
166	SET-0166	025739	10	SI	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025739\SI_025739.jpg
166	SET-0166	025739	10	SI	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025739\SI_025739.jpg
167	SET-0167	025738	9	DR	Both (Local + DB)	C:\Users\User\Desktop\Receipt\DR_001616.jpg
167	SET-0167	025738	9	DR	Both (Local + DB)	C:\Users\User\Desktop\Receipt\DR_001616.jpg
167	SET-0167	025738	9	PO	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025738\SI_REPORT_025738.jpg
167	SET-0167	025738	9	PO	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025738\SI_REPORT_025738.jpg
167	SET-0167	025738	9	SI	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025738\SI_025738.jpg
167	SET-0167	025738	9	SI	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025738\SI_025738.jpg
168	SET-0168	025737	8	DR	Both (Local + DB)	C:\Users\User\Desktop\Receipt\DR_001605.jpg
168	SET-0168	025737	8	DR	Both (Local + DB)	C:\Users\User\Desktop\Receipt\DR_001605.jpg
168	SET-0168	025737	8	PO	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025737\SI_REPORT_025737.jpg
168	SET-0168	025737	8	PO	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025737\SI_REPORT_025737.jpg
168	SET-0168	025737	8	SI	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025737\SI_025737.jpg
168	SET-0168	025737	8	SI	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025737\SI_025737.jpg
1231	SET-1231	025711	7	DR	Both (Local + DB)	C:\Users\User\Desktop\Receipt\DR_001605_EXT.jpg
1231	SET-1231	025711	7	DR	Both (Local + DB)	C:\Users\User\Desktop\Receipt\DR_001605_EXT.jpg
1231	SET-1231	025711	7	PO	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025711\SI_REPORT_025711.jpg
1231	SET-1231	025711	7	PO	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025711\SI_REPORT_025711.jpg
1231	SET-1231	025711	7	SI	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025711\SI_025711.jpg
1231	SET-1231	025711	7	SI	Both (Local + DB)	C:\Users\User\Desktop\Receipt\025711\SI_025711.jpg
1251	SET-1251	027798	82	PDF	Both (Local + DB)	JSI-027798.pdf
1273	SET-1273	0018127	105	PDF	Both (Local + DB)	MC-0018127.pdf
1274	SET-1274	0017967	104	PDF	Both (Local + DB)	MC-0017967.pdf
1275	SET-1275	0016587	101	PDF	Both (Local + DB)	MC-0016587.pdf
1276	SET-1276	0016230	100	PDF	Both (Local + DB)	MC-0016230.pdf
1277	SET-1277	0016186	99	PDF	Both (Local + DB)	MC-0016186.pdf
1278	SET-1278	0015310	97	PDF	Both (Local + DB)	MC-0015310.pdf
1279	SET-1279	0014394	98	PDF	Both (Local + DB)	MC-0014394.pdf
1281	SET-1281	0014201	96	PDF	Both (Local + DB)	MC-0014201.pdf
1282	SET-1282	0014207	95	PDF	Both (Local + DB)	MC-0014207.pdf
1283	SET-1283	0014025	94	PDF	Both (Local + DB)	MC-0014025.pdf
1285	SET-1285	0017249	103	PDF	Both (Local + DB)	MC-0017249.pdf
1286	SET-1286	0017182	102	PDF	Both (Local + DB)	MC-0017182.pdf
1287	SET-1287	0016047	111	PDF	Database	NULL
1288	SET-1288	000837	110	PDF	Both (Local + DB)	AMF-000837.pdf
1289	SET-1289	0019205	107	PDF	Both (Local + DB)	MC-0019205.pdf
1292	SET-1292	216285	27	PDF	Both (Local + DB)	CTI-216285.pdf
1294	SET-1294	215833	25	PDF	Both (Local + DB)	CTI-215833.pdf
1296	SET-1296	215742	24	PDF	Both (Local + DB)	CTI-215742.pdf
1297	SET-1297	215309	23	PDF	Both (Local + DB)	CTI-215309.pdf
1298	SET-1298	214975	21	PDF	Both (Local + DB)	CTI-214975.pdf
1301	SET-1301	214959	20	PDF	Both (Local + DB)	CTI-214959.pdf
1303	SET-1303	214592	19	PDF	Both (Local + DB)	CTI-214592.pdf
1304	SET-1304	214635	17	PDF	Both (Local + DB)	CTI-214635.pdf
1306	SET-1306	247894	15	PDF	Both (Local + DB)	CTI-247894.pdf
1307	SET-1307	214164	44	PDF	Both (Local + DB)	CTI-214164.pdf
1309	SET-1309	213951	42	PDF	Both (Local + DB)	CTI-213951.pdf
1312	SET-1312	213570	41	PDF	Both (Local + DB)	CTI-213570.pdf
1313	SET-1313	213403	39	PDF	Both (Local + DB)	CTI-213403.pdf
1314	SET-1314	21371	50	PDF	Both (Local + DB)	MCCI-21371.pdf
1315	SET-1315	069389	53	PDF	Both (Local + DB)	BCC-069389.pdf
1316	SET-1316	213562	13	PDF	Both (Local + DB)	CTI-213562.pdf
1318	SET-1318	247661	16	PDF	Both (Local + DB)	CTI-247661.pdf
1319	SET-1319	213481	37	PDF	Both (Local + DB)	CTI-213481.pdf
1321	SET-1321	213469	36	PDF	Both (Local + DB)	CTI-213469.pdf
1322	SET-1322	213108	14	PDF	Both (Local + DB)	CTI-213108.pdf
1323	SET-1323	212950	34	PDF	Both (Local + DB)	CTI-212950.pdf
1324	SET-1324	213002	33	PDF	Both (Local + DB)	CTI-213002.pdf
1327	SET-1327	212449	11	PDF	Both (Local + DB)	CTI-212449.pdf
1329	SET-1329	212527	12	PDF	Both (Local + DB)	CTI-212527.pdf
1331	SET-1331	21414	49	PDF	Both (Local + DB)	MCCI-21414.pdf
1332	SET-1332	212723	45	PDF	Both (Local + DB)	CTI-212723.pdf
1333	SET-1333	001066	54	PDF	Both (Local + DB)	JSI-001066.pdf
1334	SET-1334	001065	71	PDF	Both (Local + DB)	JSI-001065.pdf
1335	SET-1335	001044	65	PDF	Both (Local + DB)	JSI-001044.pdf
1336	SET-1336	028513	59	PDF	Both (Local + DB)	JSI-028513.pdf
1337	SET-1337	028654	70	PDF	Both (Local + DB)	JSI-028654.pdf
1338	SET-1338	001017	63	PDF	Both (Local + DB)	JSI-001017.pdf
1339	SET-1339	001045	66	PDF	Both (Local + DB)	JSI-001045.pdf
1340	SET-1340	027991	84	PDF	Both (Local + DB)	JSI-027991.pdf
1341	SET-1341	027769	80	PDF	Both (Local + DB)	JSI-027769.pdf
1342	SET-1342	213361	35	PDF	Both (Local + DB)	CTI-213361.pdf
1343	SET-1343	212902	32	PDF	Both (Local + DB)	CTI-212902.pdf
1345	SET-1345	214129	43	PDF	Both (Local + DB)	CTI-214129.pdf
1346	SET-1346	212719	48	PDF	Both (Local + DB)	CTI-212719.pdf
1347	SET-1347	212825	31	PDF	Both (Local + DB)	CTI-212825.pdf
1348	SET-1348	214965	22	PDF	Both (Local + DB)	CTI-214965.pdf
1349	SET-1349	215958	28	PDF	Both (Local + DB)	CTI-215958.pdf
1350	SET-1350	252600	46	PDF	Both (Local + DB)	CTI-252600.pdf
1351	SET-1351	247682	40	PDF	Both (Local + DB)	CTI-247682.pdf
1352	SET-1352	213563	38	PDF	Both (Local + DB)	CTI-213563.pdf
1353	SET-1353	001054	67	PDF	Both (Local + DB)	JSI-001054.pdf
1354	SET-1354	0019297	108	PDF	Both (Local + DB)	MC-0019297.pdf
1355	SET-1355	001057	68	PDF	Both (Local + DB)	JSI-001057.pdf
1356	SET-1356	028103	56	PDF	Both (Local + DB)	JSI-028103.pdf
1357	SET-1357	028011	86	PDF	Both (Local + DB)	JSI-028011.pdf
1358	SET-1358	027774	74	PDF	Both (Local + DB)	JSI-027774.pdf
1359	SET-1359	028223	58	PDF	Both (Local + DB)	JSI-028223.pdf
1360	SET-1360	027914	79	PDF	Both (Local + DB)	JSI-027914.pdf
1361	SET-1361	028014	85	PDF	Both (Local + DB)	JSI-028014.pdf
1362	SET-1362	028169	57	PDF	Both (Local + DB)	JSI-028169.pdf
1363	SET-1363	001064	69	PDF	Both (Local + DB)	JSI-001064.pdf
1364	SET-1364	028016	87	PDF	Both (Local + DB)	JSI-028016.pdf
1365	SET-1365	001033	64	PDF	Both (Local + DB)	JSI-001033.pdf
1366	SET-1366	21647	51	PDF	Both (Local + DB)	MCCI-21647.pdf
