SetId	SetCode	DocumentNumber	LocalFolderCount	DatabaseCount	BothCount	MissingCount
165	SET-0165	025700	0	0	6	0
166	SET-0166	025739	0	0	6	0
167	SET-0167	025738	0	0	6	0
168	SET-0168	025737	0	0	6	0
1231	SET-1231	025711	0	0	6	0
1251	SET-1251	027798	0	0	1	0
1273	SET-1273	0018127	0	0	1	0
1274	SET-1274	0017967	0	0	1	0
1275	SET-1275	0016587	0	0	1	0
1276	SET-1276	0016230	0	0	1	0
1277	SET-1277	0016186	0	0	1	0
1278	SET-1278	0015310	0	0	1	0
1279	SET-1279	0014394	0	0	1	0
1281	SET-1281	0014201	0	0	1	0
1282	SET-1282	0014207	0	0	1	0
1283	SET-1283	0014025	0	0	1	0
1285	SET-1285	0017249	0	0	1	0
1286	SET-1286	0017182	0	0	1	0
1287	SET-1287	0016047	0	1	0	0
1288	SET-1288	000837	0	0	1	0
1289	SET-1289	0019205	0	0	1	0
1292	SET-1292	216285	0	0	1	0
1294	SET-1294	215833	0	0	1	0
1296	SET-1296	215742	0	0	1	0
1297	SET-1297	215309	0	0	1	0
1298	SET-1298	214975	0	0	1	0
1301	SET-1301	214959	0	0	1	0
1303	SET-1303	214592	0	0	1	0
1304	SET-1304	214635	0	0	1	0
1306	SET-1306	247894	0	0	1	0
1307	SET-1307	214164	0	0	1	0
1309	SET-1309	213951	0	0	1	0
1312	SET-1312	213570	0	0	1	0
1313	SET-1313	213403	0	0	1	0
1314	SET-1314	21371	0	0	1	0
1315	SET-1315	069389	0	0	1	0
1316	SET-1316	213562	0	0	1	0
1318	SET-1318	247661	0	0	1	0
1319	SET-1319	213481	0	0	1	0
1321	SET-1321	213469	0	0	1	0
1322	SET-1322	213108	0	0	1	0
1323	SET-1323	212950	0	0	1	0
1324	SET-1324	213002	0	0	1	0
1327	SET-1327	212449	0	0	1	0
1329	SET-1329	212527	0	0	1	0
1331	SET-1331	21414	0	0	1	0
1332	SET-1332	212723	0	0	1	0
1333	SET-1333	001066	0	0	1	0
1334	SET-1334	001065	0	0	1	0
1335	SET-1335	001044	0	0	1	0
1336	SET-1336	028513	0	0	1	0
1337	SET-1337	028654	0	0	1	0
1338	SET-1338	001017	0	0	1	0
1339	SET-1339	001045	0	0	1	0
1340	SET-1340	027991	0	0	1	0
1341	SET-1341	027769	0	0	1	0
1342	SET-1342	213361	0	0	1	0
1343	SET-1343	212902	0	0	1	0
1345	SET-1345	214129	0	0	1	0
1346	SET-1346	212719	0	0	1	0
1347	SET-1347	212825	0	0	1	0
1348	SET-1348	214965	0	0	1	0
1349	SET-1349	215958	0	0	1	0
1350	SET-1350	252600	0	0	1	0
1351	SET-1351	247682	0	0	1	0
1352	SET-1352	213563	0	0	1	0
1353	SET-1353	001054	0	0	1	0
1354	SET-1354	0019297	0	0	1	0
1355	SET-1355	001057	0	0	1	0
1356	SET-1356	028103	0	0	1	0
1357	SET-1357	028011	0	0	1	0
1358	SET-1358	027774	0	0	1	0
1359	SET-1359	028223	0	0	1	0
1360	SET-1360	027914	0	0	1	0
1361	SET-1361	028014	0	0	1	0
1362	SET-1362	028169	0	0	1	0
1363	SET-1363	001064	0	0	1	0
1364	SET-1364	028016	0	0	1	0
1365	SET-1365	001033	0	0	1	0
1366	SET-1366	21647	0	0	1	0
1367	SET-1367	21628	0	0	1	0
1369	SET-1369	028087	0	0	1	0
1370	SET-1370	028055	0	0	1	0
1371	SET-1371	001019	0	0	1	0
1372	SET-1372	001016	0	0	1	0
1373	SET-1373	027874	0	0	1	0
1374	SET-1374	027876	0	0	1	0
1375	SET-1375	027875	0	0	1	0
1376	SET-1376	001015	0	0	1	0
1377	SET-1377	001014	0	0	1	0
1378	SET-1378	001010	0	0	1	0
1379	SET-1379	027768	0	0	1	0
1390	SET-1390	0018631	0	0	1	0
1401	SET-1401	0019398	0	0	1	0
1412	SET-1412	028721	0	0	1	0
1413	SET-1413	0013399	0	0	1	0
1417	SET-1417	0019551	0	0	1	0
1418	SET-1418	216607	0	0	1	0
1419	SET-1419	216624	0	0	1	0
1420	SET-1420	214881	0	0	1	0
1421	SET-1421	216406	0	0	1	0
1422	SET-1422	0080	0	0	1	0
1423	SET-1423	0084	0	0	1	0
