COMPANIES,,,,,BranchType: Factory,,
YPI & YMC,,,,,FACTORY,,
Company,Department,Branch,,,Company,Department,Branch
YPI,Accounting Department,MANILA LIAISON OFFICE,,,YPI,SHIPPING SECTION,CALAMBA PLANT
YMC,Accounting Department,MANILA LIAISON OFFICE,,,YPI,UTILITY CONTROL SECTION,CALAMBA PLANT
YPI,Accounting Department,ISABELA GOOD HEALTH MKTG. CORP,,,YPI,BOTTLING SECTION,CALAMBA PLANT
YPI,Accounting Department,BIOMATE CORP.,,,YPI,BOTTLEMAKING SECTION,CALAMBA PLANT
YPI,Accounting Department,GALACTO MKTG. CORP.,,,YPI,DISS. & PAST. SECTION,CALAMBA PLANT
YPI,Audit Department,MANILA LIAISON OFFICE,,,YPI,GEN. AFFAIRS SECTION,CALAMBA PLANT
YPI,Credit & Collection Department,MARILAO DEPOT,,,YPI,PRODUCTION SECTION,CALAMBA PLANT
YPI,Credit & Collection Department,MANILA LIAISON OFFICE,,,YPI,PURCH. & MATERIALS PROP.,CALAMBA PLANT
YPI,Credit & Collection Department,ANTIPOLO DEPOT,,,YPI,QUALITY CONTROL SECTION,CALAMBA PLANT
YPI,Credit & Collection Department,CAVITE DEPOT,,,YPI,ENG'G. & MAINT. SECTION,CALAMBA PLANT
YMC,Credit & Collection Department,MANILA LIAISON OFFICE,,,,,
YPI,Credit & Collection Department,VICTORIA DEPOT,,,,,
YPI,DIRECT SALES DEPT.,MARILAO DEPOT,,,,,
YPI,DIRECT SALES DEPT.,MANILA LIAISON OFFICE,,,,,
YPI,DIRECT SALES DEPT.,ANTIPOLO DEPOT,,,,,
YPI,DIRECT SALES DEPT.,VICTORIA DEPOT,,,,,
YPI,DIRECT SALES DEPT.,CAVITE DEPOT,,,,,
YPI,Engineering,MANILA LIAISON OFFICE,,,,,
YMC,Engineering,MANILA LIAISON OFFICE,,,,,
YMC,Engineering,VICTORIA DEPOT,,,,,
YMC,Engineering,MARILAO DEPOT,,,,,
YPI,Engineering,VICTORIA DEPOT,,,,,
YPI,Engineering,ANTIPOLO DEPOT,,,,,
YPI,Engineering,MARILAO DEPOT,,,,,
YPI,Engineering,CAVITE DEPOT,,,,,
YPI,General Affairs Department,MANILA LIAISON OFFICE,,,,,
YMC,General Affairs Department,MANILA LIAISON OFFICE,,,,,
YMC,General Affairs Department,YAKULT EL SALVADOR,,,,,
YPI,Information Technology,MANILA LIAISON OFFICE,,,,,
YMC,Information Technology,MARILAO DEPOT,,,,,
YPI,Legal Department,MANILA LIAISON OFFICE,,,,,
YPI,Materials Section,MANILA LIAISON OFFICE,,,,,
YMC,Materials Section,MANILA LIAISON OFFICE,,,,,
YPI,Personnel Management Department,MANILA LIAISON OFFICE,,,,,
YMC,Personnel Management Department,MANILA LIAISON OFFICE,,,,,
YPI,Provincial Dealers Department (PDD),MANILA LIAISON OFFICE,,,,,
YPI,Provincial Dealers Department (PDD),NEGROS LONG LIFE CORP.,,,,,
YPI,Provincial Dealers Department (PDD),PALAWAN ULTRAHEALTH MKTG. INC.,,,,,
YPI,Provincial Dealers Department (PDD),ISABELA GOOD HEALTH MKTG. CORP,,,,,
YPI,Provincial Dealers Department (PDD),ACTIGEN MKTG. CORP.,,,,,
YPI,Provincial Dealers Department (PDD),BIOMATE CORP.,,,,,
